date,open,high,low,close,volume,dollar,sentiment
2015-01-02,1512.98,1512.98,1483.89,1483.89,13404469.0,2392.46,-1
2015-01-05,1483.89,1484.67,1418.74,1418.74,37713402.0,2383.37,-1
2015-01-06,1418.74,1424.68,1415.07,1419.92,200817540.0,2412.82,1
2015-01-07,1419.92,1430.1,1419.92,1422.2,25576230.0,2452.11,1
2015-01-08,1422.2,1433.37,1421.07,1433.37,21328389.0,2434.31,-1
2015-01-09,1433.37,1434.05,1425.79,1426.77,19937232.0,2405.03,1
2015-01-13,1426.77,1430.02,1412.2,1412.2,31376740.0,2406.71,-1
2015-01-14,1412.2,1412.2,1376.76,1387.56,33128162.0,2442.03,-1
2015-01-15,1387.56,1394.48,1380.65,1380.65,35584682.0,2438.79,1
2015-01-16,1380.65,1386.44,1375.95,1376.3,25534386.0,2398.91,-1
2015-01-19,1376.3,1381.2,1372.66,1376.17,11669600.0,2383.91,1
2015-01-20,1376.17,1379.82,1373.33,1377.29,25916632.0,2383.91,1
2015-01-21,1377.29,1388.24,1375.54,1388.17,31404417.0,2373.44,0
2015-01-22,1388.17,1411.82,1388.17,1411.78,66331779.0,2361.54,-1
2015-01-23,1411.78,1430.0,1411.72,1423.28,41555222.0,2370.75,1
2015-01-26,1423.28,1430.25,1421.66,1426.48,60327032.0,2386.5,1
2015-01-27,1426.48,1426.48,1413.23,1423.89,35152745.0,2386.28,1
2015-01-28,1423.89,1426.26,1407.79,1407.79,28254840.0,2381.11,1
2015-01-29,1407.79,1409.52,1397.0,1407.92,42813120.0,2362.42,1
2015-01-30,1407.92,1409.48,1389.0,1389.0,142688408.0,2397.35,-1
2015-02-02,1389.0,1408.2,1379.56,1408.2,65880590.0,2441.1,1
2015-02-03,1408.2,1440.61,1408.2,1436.19,46992919.0,2407.29,-1
2015-02-04,1436.19,1436.19,1426.83,1428.45,42708156.0,2374.72,1
2015-02-05,1428.45,1441.59,1428.45,1434.46,110743167.0,2381.91,1
2015-02-06,1434.46,1439.17,1427.29,1437.03,250445526.0,2384.53,1
2015-02-09,1437.03,1437.42,1425.57,1425.57,19663993.0,2384.76,1
2015-02-10,1425.57,1427.01,1402.65,1402.65,34174110.0,2371.31,1
2015-02-11,1402.65,1402.65,1381.34,1381.74,150780253.0,2380.79,1
2015-02-12,1381.74,1390.9,1364.93,1381.46,53039568.0,2416.61,1
2015-02-13,1381.46,1397.81,1381.46,1397.81,58382578.0,2401.03,1
2015-02-16,1397.81,1400.17,1395.84,1398.97,3002085.0,2376.23,-1
2015-02-17,1398.97,1400.23,1390.37,1397.2,51952838.0,2376.23,1
2015-02-18,1397.2,1403.41,1394.54,1397.93,13941007.0,2416.37,1
2015-02-19,1397.93,1397.93,1386.78,1386.78,17030768.0,2429.71,0
2015-02-20,1386.78,1389.22,1368.85,1368.85,24615592.0,2445.16,1
2015-02-23,1368.85,1376.33,1366.46,1375.86,77636428.0,2455.54,-1
2015-02-24,1375.86,1381.04,1365.36,1365.36,67892337.0,2489.81,1
2015-02-25,1365.36,1366.27,1359.04,1362.71,28311668.0,2500.59,1
2015-02-26,1362.71,1365.06,1357.7,1361.95,20565244.0,2489.41,1
2015-02-27,1361.95,1372.12,1361.95,1367.58,53697233.0,2484.58,-1
2015-03-02,1367.58,1368.24,1342.42,1342.89,14972424.0,2496.99,1
2015-03-03,1342.89,1342.89,1317.12,1317.12,38983043.0,2522.03,-1
2015-03-04,1317.12,1321.63,1303.58,1321.63,27236577.0,2555.08,0
2015-03-05,1321.63,1323.63,1311.62,1311.62,36496088.0,2565.9,0
2015-03-06,1311.62,1314.05,1279.43,1280.43,21720763.0,2543.47,0
2015-03-09,1280.43,1284.05,1257.73,1257.87,26121277.0,2565.61,1
2015-03-10,1257.87,1260.02,1250.0,1249.94,71747683.0,2592.86,1
2015-03-11,1249.94,1258.0,1249.26,1249.83,34538854.0,2618.79,0
2015-03-12,1249.83,1269.88,1249.3,1269.88,26389641.0,2633.65,-1
2015-03-13,1269.88,1281.95,1266.21,1281.95,24617737.0,2610.08,0
2015-03-16,1281.95,1292.86,1278.78,1288.16,33458521.0,2661.52,1
2015-03-17,1288.16,1290.41,1282.92,1288.6,39090733.0,2675.08,1
2015-03-18,1288.6,1305.9,1285.67,1304.89,52844049.0,2677.97,1
2015-03-19,1304.89,1306.11,1296.57,1297.34,23667368.0,2651.49,0
2015-03-20,1297.34,1305.5,1292.36,1292.36,148571453.0,2613.38,1
